1792676, 1.324032, 0.113109, 0.034415
1792676, 1.329152, 0.112473, 0.035044
1792676, 1.332224, 0.354938, 0.118000
1792676, 1.328128, 0.346265, 0.120581
1792676, 1.316864, 0.377578, 0.120671
1792676, 1.313792, 0.370891, 0.122536
1792676, 1.326080, 0.349965, 0.121906
1792676, 1.324032, 0.375602, 0.120573
1792676, 1.324032, 0.292839, 0.113410
1792676, 1.319936, 0.331958, 0.112636
1792676, 1.318912, 0.293663, 0.114545
1792676, 1.323008, 0.288595, 0.113316
1792676, 1.320960, 0.286876, 0.112274
1792676, 1.326080, 0.288209, 0.113534
1792676, 1.316864, 0.327709, 0.113697
1792676, 1.317888, 0.292013, 0.113067
1792676, 1.325056, 0.302704, 0.113504
1792676, 1.324032, 0.289349, 0.112733
1792676, 1.312768, 0.288973, 0.112431
1792676, 1.321984, 0.300879, 0.116322
1792676, 1.324032, 0.305375, 0.111925
1792676, 1.324032, 0.321975, 0.113780
1792676, 1.320960, 0.290553, 0.113453
1792676, 1.318912, 0.323904, 0.113280
1792676, 1.315840, 0.287762, 0.112356
1792676, 1.326080, 0.287470, 0.112522
1792676, 1.318912, 0.329651, 0.150664
1792676, 1.319936, 0.288388, 0.112956
1792676, 1.317888, 0.287823, 0.112113
1792676, 1.320960, 0.287392, 0.112777
1792676, 1.327104, 0.288080, 0.112125
1792676, 1.334272, 0.302668, 0.113109
1792676, 1.326080, 0.320212, 0.113201
1792676, 1.323008, 0.290926, 0.113017
1792676, 1.323008, 0.301079, 0.113092
1792676, 1.324032, 0.288313, 0.112643
1792676, 1.321984, 0.286287, 0.112563
1792676, 1.324032, 0.300880, 0.111471
1792676, 1.327104, 0.322676, 0.112412
1792676, 1.321984, 0.288880, 0.112993
1792676, 1.318912, 0.288855, 0.113193
1792676, 1.327104, 0.286505, 0.112374
1792676, 1.316864, 0.291313, 0.112754
1792676, 1.317888, 0.287630, 0.112165
1792676, 1.326080, 0.092178, 0.032729
1792676, 1.328128, 0.092225, 0.033074
1792676, 1.326080, 0.076613, 0.026189
1792676, 1.319936, 0.069825, 0.025393
1792676, 1.325056, 0.286236, 0.112697
1792676, 1.326080, 0.322543, 0.145271
1792676, 1.323008, 0.296145, 0.115932
